GlobalEventID,Day,MonthYear,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_CountryCode,Actor1Geo_Fullname,goldstein * num_mentions,avgtone * num_mentions
719025374,20180101.0,201801.0,-10.0,2.0,1.0,2.0,-7.19424460431654,-4.32972,15.315,CG,"Kinshasa, Kinshasa, Democratic Republic Of The Congo",-20.0,-14.38848920863308
719025377,20180101.0,201801.0,-10.0,2.0,1.0,2.0,-7.19424460431654,-4.32972,15.315,CG,"Kinshasa, Kinshasa, Democratic Republic Of The Congo",-20.0,-14.38848920863308
719025381,20180101.0,201801.0,-10.0,2.0,1.0,2.0,-7.19424460431654,-1.0,15.0,CF,Congo,-20.0,-14.38848920863308
719025382,20180101.0,201801.0,-10.0,2.0,1.0,2.0,-7.19424460431654,-1.0,15.0,CF,Congo,-20.0,-14.38848920863308
719025396,20180101.0,201801.0,8.0,10.0,1.0,10.0,-2.37495501979129,38.8951,-77.0364,US,"Washington, District of Columbia, United States",80.0,-23.7495501979129
719025404,20180101.0,201801.0,-9.0,12.0,1.0,12.0,-4.6801872074883,39.9743,-75.4402,US,"Castle Rock, Pennsylvania, United States",-108.0,-56.162246489859605
719025405,20180101.0,201801.0,-9.0,8.0,1.0,8.0,-4.6801872074883,39.9523,-75.1638,US,"Philadelphia, Pennsylvania, United States",-72.0,-37.4414976599064
719025407,20180101.0,201801.0,-10.0,1.0,1.0,1.0,-5.26315789473684,28.1307,75.4014,IN,"Jhunjhunu, Rajasthan, India",-10.0,-5.26315789473684
719025408,20180101.0,201801.0,-10.0,1.0,1.0,1.0,-5.26315789473684,26.8667,75.95,IN,"Kanota, Rajasthan, India",-10.0,-5.26315789473684
719025409,20180101.0,201801.0,-10.0,10.0,2.0,10.0,-3.47962641540623,51.5,-0.116667,UK,"London, London, City of, United Kingdom",-100.0,-34.7962641540623
719025410,20180101.0,201801.0,-10.0,1.0,1.0,1.0,0.12953367875648,34.146,-82.0193,US,"Ninety Six National Historic Site, South Carolina, United States",-10.0,0.12953367875648
719025411,20180101.0,201801.0,-10.0,13.0,2.0,13.0,-6.5272116648646,39.5539,-104.969,US,"Highlands Ranch, Colorado, United States",-130.0,-84.8537516432398
719025412,20180101.0,201801.0,-10.0,13.0,2.0,11.0,-7.07744273519443,39.3333,-104.951,US,"Douglas County, Colorado, United States",-130.0,-92.0067555575276
719025413,20180101.0,201801.0,-10.0,2.0,1.0,2.0,-6.87757909215956,39.3333,-104.951,US,"Douglas County, Colorado, United States",-20.0,-13.75515818431912
719025414,20180101.0,201801.0,-10.0,10.0,1.0,10.0,-6.87757909215956,39.7392,-104.985,US,"Denver, Colorado, United States",-100.0,-68.7757909215956
719025415,20180101.0,201801.0,-10.0,10.0,1.0,6.0,-6.87757909215956,39.5293,-104.872,US,"Sky Ridge Medical Center, Colorado, United States",-100.0,-68.7757909215956
719025416,20180101.0,201801.0,-10.0,10.0,1.0,10.0,-1.42555438225977,43.3504,-84.5603,US,"Michigan, United States",-100.0,-14.255543822597701
719025417,20180101.0,201801.0,-10.0,1.0,1.0,1.0,-7.19424460431654,-4.32972,15.315,CG,"Kinshasa, Kinshasa, Democratic Republic Of The Congo",-10.0,-7.19424460431654
719025418,20180101.0,201801.0,-10.0,2.0,1.0,2.0,-7.19424460431654,-4.32972,15.315,CG,"Kinshasa, Kinshasa, Democratic Republic Of The Congo",-20.0,-14.38848920863308
719025422,20180101.0,201801.0,-5.0,3.0,1.0,3.0,-9.765625,-37.8167,144.967,AS,"Melbourne, Victoria, Australia",-15.0,-29.296875
719025423,20180101.0,201801.0,-10.0,8.0,1.0,8.0,-5.48780487804878,51.5797,-2.33778,UK,"Hawkesbury, South Gloucestershire, United Kingdom",-80.0,-43.90243902439024
719025425,20180101.0,201801.0,-10.0,2.0,1.0,2.0,-7.19424460431654,-4.32972,15.315,CG,"Kinshasa, Kinshasa, Democratic Republic Of The Congo",-20.0,-14.38848920863308
719025426,20180101.0,201801.0,-10.0,7.0,1.0,7.0,-7.19424460431654,-4.32972,15.315,CG,"Kinshasa, Kinshasa, Democratic Republic Of The Congo",-70.0,-50.359712230215784
719025427,20180101.0,201801.0,-10.0,2.0,1.0,2.0,-7.19424460431654,-1.0,15.0,CF,Congo,-20.0,-14.38848920863308
719025428,20180101.0,201801.0,-10.0,1.0,1.0,1.0,-7.19424460431654,-1.0,15.0,CF,Congo,-10.0,-7.19424460431654
719025430,20180101.0,201801.0,-10.0,10.0,1.0,10.0,-5.14705882352941,32.7673,-89.6812,US,"Mississippi, United States",-100.0,-51.4705882352941
719025433,20180101.0,201801.0,-5.0,2.0,1.0,2.0,-1.93122939236928,8.89639,7.24306,NI,"Kuje, Abuja Federal Capital Territory, Nigeria",-10.0,-3.86245878473856
719025434,20180101.0,201801.0,-10.0,9.0,9.0,9.0,-6.42978003384095,39.3722,-104.856,US,"Castle Rock, Colorado, United States",-90.0,-57.868020304568546
719025435,20180101.0,201801.0,-10.0,8.0,1.0,8.0,-5.48780487804878,51.5797,-2.33778,UK,"Hawkesbury, South Gloucestershire, United Kingdom",-80.0,-43.90243902439024
719025438,20180101.0,201801.0,-9.0,10.0,1.0,10.0,-6.48769574944072,33.4934,49.075,IR,"Dorud, Lorestan, Iran",-90.0,-64.8769574944072
719025439,20180101.0,201801.0,-5.0,5.0,1.0,5.0,-4.81927710843373,31.5333,35.1,IS,"Hebron, Israel (general), Israel",-25.0,-24.09638554216865
719025440,20180101.0,201801.0,-5.0,4.0,1.0,4.0,-5.4858934169279,14.5832,121.041,RP,"Mandaluyong, Mandaluyong, Philippines",-20.0,-21.9435736677116
719025448,20180101.0,201801.0,-10.0,3.0,1.0,3.0,-8.92857142857143,39.6133,-105.017,US,"Littleton, Colorado, United States",-30.0,-26.785714285714292
719025449,20180101.0,201801.0,-10.0,2.0,1.0,2.0,-8.92857142857143,39.3333,-104.951,US,"Douglas County, Colorado, United States",-20.0,-17.85714285714286
719025460,20180101.0,201801.0,-5.0,4.0,1.0,4.0,-6.89655172413793,43.4166,-116.126,US,"Ada County, Idaho, United States",-20.0,-27.58620689655172
719025461,20180101.0,201801.0,-5.0,2.0,1.0,2.0,-6.89655172413793,43.4166,-116.126,US,"Ada County, Idaho, United States",-10.0,-13.79310344827586
719025462,20180101.0,201801.0,-5.0,2.0,1.0,2.0,-6.89655172413793,43.4166,-116.126,US,"Ada County, Idaho, United States",-10.0,-13.79310344827586
719025463,20180101.0,201801.0,-5.0,2.0,1.0,2.0,-6.89655172413793,43.4166,-116.126,US,"Ada County, Idaho, United States",-10.0,-13.79310344827586
719025464,20180101.0,201801.0,-9.5,4.0,1.0,4.0,-9.47580645161287,39.5539,-104.969,US,"Highlands Ranch, Colorado, United States",-38.0,-37.90322580645148
719025465,20180101.0,201801.0,-9.5,2.0,1.0,2.0,-9.47580645161287,39.5539,-104.969,US,"Highlands Ranch, Colorado, United States",-19.0,-18.95161290322574
719025466,20180101.0,201801.0,-9.5,18.0,6.0,18.0,-8.45168297315863,39.3333,-104.951,US,"Douglas County, Colorado, United States",-171.0,-152.13029351685532
719025467,20180101.0,201801.0,-9.5,10.0,5.0,10.0,-7.63238419039524,39.3333,-104.951,US,"Douglas County, Colorado, United States",-95.0,-76.3238419039524
719025468,20180101.0,201801.0,-9.5,2.0,1.0,2.0,-9.47580645161287,39.3333,-104.951,US,"Douglas County, Colorado, United States",-19.0,-18.95161290322574
719025469,20180101.0,201801.0,-9.5,20.0,5.0,20.0,-7.63238419039524,39.7392,-104.985,US,"Denver, Colorado, United States",-190.0,-152.6476838079048
719025470,20180101.0,201801.0,-10.0,1.0,1.0,1.0,-7.4074074074074,40.8753,-79.125,US,"Indiana County, Pennsylvania, United States",-10.0,-7.4074074074074
719025471,20180101.0,201801.0,-10.0,2.0,1.0,2.0,-6.87757909215956,39.3333,-104.951,US,"Douglas County, Colorado, United States",-20.0,-13.75515818431912
719025472,20180101.0,201801.0,-10.0,10.0,1.0,10.0,-7.4074074074074,49.216667,-2.116667,JE,Jersey,-100.0,-74.074074074074
719025474,20180101.0,201801.0,-10.0,10.0,1.0,10.0,-7.4074074074074,40.8753,-79.125,US,"Indiana County, Pennsylvania, United States",-100.0,-74.074074074074
719025475,20180101.0,201801.0,-10.0,5.0,1.0,5.0,-9.47580645161287,39.5539,-104.969,US,"Highlands Ranch, Colorado, United States",-50.0,-47.37903225806435
719025476,20180101.0,201801.0,-10.0,20.0,4.0,18.0,-7.95181779716933,39.3333,-104.951,US,"Douglas County, Colorado, United States",-200.0,-159.03635594338658
719025477,20180101.0,201801.0,-10.0,5.0,1.0,5.0,-5.14705882352941,32.7673,-89.6812,US,"Mississippi, United States",-50.0,-25.73529411764705
