Actor1Geo_CountryCode,MonthYear,NumMentions,goldstein * num_mentions,avgtone * num_mentions,avg_goldstein,avg_avgtone
RB,201705.0,11384.0,2901.899999999999,-20033.299893032832,0.2549104005621925,-1.7597768704350696
RP,201705.0,367970.0,-80839.70000000001,-986006.7557689555,-0.2196910074190831,-2.679584628553837
RS,201705.0,712624.0,419296.5,-1715361.2376909251,0.5883839163429803,-2.4071056232893153
SA,201705.0,284801.0,345551.70000000007,-509141.3769942711,1.213309293155572,-1.7877092320401653
SN,201705.0,68141.0,105599.09999999998,-16584.698278320462,1.5497145624513873,-0.24338794966790128
SP,201705.0,115647.0,108761.59999999999,-109871.57845368356,0.9404619229206118,-0.9500599103624267
SY,201705.0,310447.0,-303165.0,-1258745.9289499524,-0.9765435001787744,-4.0546242319943575
SZ,201705.0,89409.0,99881.7,-119030.83261989344,1.117132503439251,-1.3313070565591096
TH,201705.0,100019.0,12228.700000000003,-255030.1186894147,0.12226376988372212,-2.5498167217170207
TS,201705.0,21425.0,-15002.999999999998,-92034.76201163209,-0.7002567094515751,-4.295671505793797
TU,201705.0,283751.0,66396.79999999999,-839714.6773378957,0.23399670838164444,-2.9593364511064126
TW,201705.0,59720.0,59200.7,-18463.089281419856,0.9913044206296048,-0.3091609055830518
UK,201705.0,1272884.0,648997.7999999999,-2347885.6291176775,0.5098640567404413,-1.8445401380783146
US,201705.0,7676910.0,3758374.3,-14836646.105751812,0.4895686285237159,-1.9326325443116843
VE,201705.0,83135.0,-118817.70000000001,-484228.6345239205,-1.4292139291513803,-5.8246061769882775
VM,201705.0,109292.0,155079.5,-28618.59861380245,1.4189464919664752,-0.26185446888887065
WE,201705.0,32690.0,-21779.6,-122295.85300294663,-0.6662465585806057,-3.7410784032715396
YM,201705.0,56026.0,-57155.30000000001,-239575.53544244592,-1.0201567129546998,-4.276149206483524
nan,201705.0,4180797.0,3032441.0,-7728560.822478886,0.7253260562519539,-1.8485855262713988
AG,201705.0,17971.0,10626.6,-45462.84781056923,0.5913193478381837,-2.529789539289368
AO,201705.0,16248.0,24257.9,-15401.22333648955,1.4929775972427377,-0.9478842526150634
AQ,201705.0,643.0,1307.5,-21.539007371462603,2.0334370139968896,-0.033497678649241996
AY,201705.0,3783.0,3667.2000000000003,-3405.653220892015,0.969389373513085,-0.9002519748591105
BG,201705.0,124555.0,-4240.899999999997,-348115.00632496254,-0.03404841234795871,-2.794869787041568
BP,201705.0,3851.0,3808.7999999999997,-4106.833204045591,0.9890418073227732,-1.0664329275631241
BT,201705.0,8806.0,19939.600000000002,8517.134195080633,2.264319781966841,0.9671967062321863
CE,201705.0,103261.0,133226.19999999998,-161774.18989361485,1.2901889387087089,-1.5666533337234276
CF,201705.0,17364.0,-3153.8999999999996,-76840.43679258694,-0.18163441603317207,-4.42527279386011
CS,201705.0,12722.0,14574.699999999999,-6278.914698890775,1.1456296179845935,-0.49354776755940694
CY,201705.0,25195.0,29546.8,-13693.835348693197,1.1727247469736057,-0.5435140047109822
ES,201705.0,10993.0,-8755.899999999998,-38526.07759584335,-0.7964977713090147,-3.5046008910982764
ET,201705.0,47519.0,57093.1,-62778.688329492565,1.2014794082367053,-1.321128145152309
FI,201705.0,25481.0,49277.40000000001,-7716.776220390311,1.9338879949766496,-0.30284432402143996
GA,201705.0,21986.0,18972.699999999997,-32366.98681887915,0.862944601109797,-1.4721635049067203
GZ,201705.0,6073.0,-9401.8,-26595.940318351644,-1.548131071957846,-4.379374332019042
HU,201705.0,36736.0,35572.3,-86830.40127320102,0.9683226263066202,-2.3636324388393133
IC,201705.0,14168.0,21934.600000000002,-4451.185001515626,1.5481789949181255,-0.3141717251210916
JM,201705.0,39906.0,31519.4,-53403.72136669318,0.789841126647622,-1.3382378932163879
MK,201705.0,14214.0,8396.000000000002,-31656.05057263285,0.5906852399043198,-2.227103600157088
ML,201705.0,19347.0,6943.2,-50258.44472529095,0.35887734532485654,-2.597738394856616
