,GlobalEventID,Day,MonthYear,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_CountryCode,Actor1Geo_Fullname,goldstein * num_mentions,avgtone * num_mentions
3084,752541459,20180502.0,201805.0,-5.0,4.0,1.0,4.0,-6.3545150501672305,16.45,120.55,RP,"Philippine, Benguet, Philippines",-20.0,-25.418060200668922
3307,752573036,20180502.0,201805.0,5.2,10.0,1.0,10.0,0.359712230215832,7.073060000000001,125.613,RP,"Davao City, Davao City, Philippines",52.0,3.59712230215832
3616,752616206,20180502.0,201805.0,0.0,10.0,1.0,10.0,0.822368421052635,14.6042,120.98200000000001,RP,"Manila, Manila, Philippines",0.0,8.223684210526349
4022,752674487,20180503.0,201805.0,3.4,1.0,1.0,1.0,-4.666666666666661,16.45,120.55,RP,"Philippine, Benguet, Philippines",3.4,-4.666666666666661
4133,752690610,20180503.0,201805.0,-2.0,2.0,1.0,2.0,0.0,7.073060000000001,125.613,RP,"Davao, Davao City, Philippines",-4.0,0.0
4140,752690628,20180503.0,201805.0,7.0,1.0,1.0,1.0,-1.75953079178886,16.45,120.55,RP,"Philippine, Benguet, Philippines",7.0,-1.75953079178886
4498,752740918,20180503.0,201805.0,-0.3,2.0,1.0,2.0,3.31491712707182,15.8334,120.37799999999999,RP,"Malaca, Pangasinan, Philippines",-0.6,6.62983425414364
4545,752746781,20180503.0,201805.0,2.8,2.0,1.0,2.0,-2.27790432801822,6.089169999999999,121.105,RP,"Patikul, Sulu, Philippines",5.6,-4.55580865603644
4549,752749284,20180503.0,201805.0,0.0,5.0,1.0,5.0,0.0,5.685,125.292,RP,"Kuya, Sarangani Province, Philippines",0.0,0.0
4581,752752180,20180503.0,201805.0,7.0,2.0,1.0,2.0,-4.9504950495049505,8.0034,124.28399999999999,RP,"Dansalan, Marawi, Philippines",14.0,-9.900990099009901
